160801_NB501015_0143_AH3JYFBGXY,TANGO-436,2016-08-01,Shilatifard,0,0
160801_NS500577_0221_AH3JTTBGXY,TANGO-452,2016-08-01,Shilatifard,0,0
160802_NB501015_0144_AHWKTGBGXX,TANGO-444,2016-08-02,Shilatifard,0,0
160802_NS500577_0222_AHFNW5BGXY,TANGO-457,2016-08-02,Shilatifard,0,0
160803_NB501015_0145_AHFNYTBGXY,TANGO-451,2016-08-03,Shilatifard,0,0
160803_NS500577_0223_AHFNKHBGXY,TANGO-454,2016-08-03,Shilatifard,0,0
160804_NB501015_0146_AHFCCTBGXY,TANGO-453,2016-08-04,Shilatifard,0,0
160804_NS500577_0224_AHFNVGBGXY,TANGO-455,2016-08-04,Shilatifard,0,0
160808_NB501015_0147_AHF3FTBGXY,TANGO-449,2016-08-08,Shilatifard,1,0
160808_NB501015_0147_AHF3FTBGXY,TANGO-450,2016-08-08,Shilatifard,1,0
160808_NS500577_0225_AH7TMCBGXY,TANGO-459,2016-08-08,Shilatifard,0,0
160809_NB501015_0148_AHFJL2BGXY,TANGO-456,2016-08-09,Shilatifard,0,0
160810_NB501015_0149_AHC3NLBGXY,TANGO-473,2016-08-10,Shilatifard,0,0
160810_NS500577_0226_AHF5TLBGXY,TANGO-464,2016-08-10,Shilatifard,1,0
160810_NS500577_0226_AHF5TLBGXY,TANGO-469,2016-08-10,Shilatifard,1,0
160811_NB501015_0150_AHFTNTBGXY,TANGO-463,2016-08-11,Shilatifard,1,0
160811_NB501015_0150_AHFTNTBGXY,TANGO-476,2016-08-11,Shilatifard,1,0
160811_NS500577_0227_AHFTL2BGXY,TANGO-468,2016-08-11,Shilatifard,0,0
160812_NB501015_0151_AHC3JCBGXY,TANGO-472,2016-08-12,Shilatifard,0,0
160812_NS500577_0228_AHF5YHBGXY,TANGO-475,2016-08-12,Shilatifard,0,0
160817_NB501015_0152_AHC5THBGXY,TANGO-477,2016-08-17,Shilatifard,1,0
160817_NB501015_0152_AHC5THBGXY,TANGO-486,2016-08-17,Shilatifard,1,0
160817_NB501015_0152_AHC5THBGXY,TANGO-487,2016-08-17,Shilatifard,1,0
160817_NS500577_0229_AH7V2YBGXY,TANGO-480,2016-08-17,Shilatifard,0,0
160818_NB501015_0153_AH7TMFBGXY,TANGO-474,2016-08-18,Shilatifard,0,0
160818_NS500577_0230_AHFJKYBGXY,TANGO-479,2016-08-18,Shilatifard,0,0
160819_NB501015_0154_AH7V3HBGXY,TANGO-461,2016-08-19,Shilatifard,0,0
160819_NS500577_0231_AH7TMGBGXY,TANGO-470,2016-08-19,Shilatifard,0,0
160822_NB501015_0155_AHF52HBGXY,TANGO-462,2016-08-22,Shilatifard,0,0
160822_NS500577_0232_AHC75FBGXY,TANGO-466,2016-08-22,Shilatifard,0,0
160824_NB501015_0156_AHF5WNBGXY,TANGO-484,2016-08-24,Shilatifard,0,0
160824_NS500577_0233_AHCYGNBGXY,TANGO-490,2016-08-24,Shilatifard,0,0
160825_NB501015_0157_AH7TLWBGXY,TANGO-471,2016-08-25,Shilatifard,1,0
160825_NB501015_0157_AH7TLWBGXY,TANGO-478,2016-08-25,Shilatifard,1,0
160825_NS500577_0234_AH7V2MBGXY,TANGO-481,2016-08-25,Shilatifard,0,0
